Sample	Animal	Diet	AgeGroup	AgeExact	Daysln	TypeAll	Type	Sex	ScourSample	chao	shannon	ADGKG	Gain	TotalIntake	ill.scour	ill.resp	ill.ketosis	ill.mastitis	ill.all	MPE	Effic
5035.2yr.L3	5035	C	2yr	842	6.735780014	L3	L	F	N	16.5	2.044757	0.65	546.12		0	0	0	0	1	5.93	9.11
5035.2yr.S1	5035	C	2yr	840	6.733401892	S1	S	F	N	24.5	2.033896	0.65	546.12		0	0	0	0	1	5.93	9.11
5035.2yr.S2	5035	C	2yr	841	6.73459166	S2	S	F	N	17	1.966025	0.65	546.12		0	0	0	0	1	5.93	9.11
5035.2yr.S3	5035	C	2yr	842	6.735780014	S3	S	F	N	24	1.863702	0.65	546.12		0	0	0	0	1	5.93	9.11
5037.1yr.F	5037	A	1yr	358	5.880532986	F	F	F	N	49.2	2.972261	0.94	343.52		18	6	0	0	24		
5037.2yr.F	5037	A	2yr	841	6.73459166	F	F	F	N	117.333333	2.92988	0.62	527.23		18	6	0	0	24	7.19	9.28
5038.1yr.F	5038	C	1yr	358	5.880532986	F	F	F	N	20	2.24459	0.97	352.89		16	0	0	0	16		
5038.2yr.F	5038	C	2yr	839	6.732210706	F	F	F	N	17	1.090362	0.68	572.13		16	0	0	0	16	4.11	8.9
5039.1yr.F	5039	B	1yr	370	5.913503006	F	F	F	N	41.5	2.065174	0.89	325.53		17	0	0	0	22		
5039.2yr.F	5039	B	2yr	941	6.84694314	F	F	F	N	101.090909	3.211336	0.71	665.72		17	0	0	0	22	4.03	5.32
5041.1yr.F	5041	A	1yr	364	5.897153868	F	F	F	N	40	2.584615	0.93	339.44		9	0	0	0	17		
5041.2yr.F	5041	A	2yr	843	6.736966958	F	F	F	N	177.083333	3.542141	0.73	620.29		9	0	0	0	17	4.13	6.94
5042.1yr.F	5042	C	1yr	363	5.894402834	F	F	F	N	30	2.732547	0.86	312.52		0	0	0	0	13		
